min_cluster_size,min_samples,epsilon,metric,noise_ratio,cluster_coverage,num_clusters,silhouette_score,composite_score
7,7,0.5,euclidean,0.21980676328502413,0.7801932367149759,10,0.5069905,0.3955505532055085
4,7,0.5,euclidean,0.20531400966183577,0.7946859903381642,12,0.4850443,0.38545791034537236
5,7,0.5,euclidean,0.20531400966183577,0.7946859903381642,12,0.4850443,0.38545791034537236
6,7,0.5,euclidean,0.20531400966183577,0.7946859903381642,11,0.47642335,0.378606964064681
3,7,0.5,euclidean,0.19806763285024154,0.8019323671497585,13,0.4709816,0.37769538768823596
3,4,1.0,euclidean,0.0,1.0,2,0.34703285,0.3470328450202942
3,5,1.0,euclidean,0.0,1.0,2,0.34703285,0.3470328450202942
3,7,1.0,euclidean,0.0,1.0,2,0.34703285,0.3470328450202942
4,4,1.0,euclidean,0.0,1.0,2,0.34703285,0.3470328450202942
4,5,1.0,euclidean,0.0,1.0,2,0.34703285,0.3470328450202942
4,7,1.0,euclidean,0.0,1.0,2,0.34703285,0.3470328450202942
5,4,1.0,euclidean,0.0,1.0,2,0.34703285,0.3470328450202942
5,5,1.0,euclidean,0.0,1.0,2,0.34703285,0.3470328450202942
5,7,1.0,euclidean,0.0,1.0,2,0.34703285,0.3470328450202942
6,4,1.0,euclidean,0.0,1.0,2,0.34703285,0.3470328450202942
6,5,1.0,euclidean,0.0,1.0,2,0.34703285,0.3470328450202942
6,7,1.0,euclidean,0.0,1.0,2,0.34703285,0.3470328450202942
7,4,1.0,euclidean,0.0,1.0,2,0.34703285,0.3470328450202942
7,5,1.0,euclidean,0.0,1.0,2,0.34703285,0.3470328450202942
7,7,1.0,euclidean,0.0,1.0,2,0.34703285,0.3470328450202942
10,4,1.0,euclidean,0.0,1.0,2,0.34703285,0.3470328450202942
10,5,1.0,euclidean,0.0,1.0,2,0.34703285,0.3470328450202942
10,7,1.0,euclidean,0.0,1.0,2,0.34703285,0.3470328450202942
3,10,1.0,euclidean,0.021739130434782594,0.9782608695652174,3,0.32092476,0.31394813371741254
4,10,1.0,euclidean,0.021739130434782594,0.9782608695652174,3,0.32092476,0.31394813371741254
5,10,1.0,euclidean,0.021739130434782594,0.9782608695652174,3,0.32092476,0.31394813371741254
6,10,1.0,euclidean,0.021739130434782594,0.9782608695652174,3,0.32092476,0.31394813371741254
7,10,1.0,euclidean,0.021739130434782594,0.9782608695652174,3,0.32092476,0.31394813371741254
